ID,y
2,88.53
8,91.91
12,82.58073
14,85.950676
15,79.54329
19,83.53488
27,92.812294
41,93.09159
49,83.40752
52,85.950676
58,96.577065
61,98.82342
63,86.11556
67,81.72871
73,83.64688
79,97.99731
93,102.23791
94,83.53488
97,83.8917
106,104.4722
107,101.55779
108,81.84669
112,98.33898
133,99.05314
137,83.81777
143,82.34034
145,83.98557
152,100.65131
160,92.1513
168,103.904526
170,101.03538
171,99.37871
193,94.05341
198,85.39089
200,83.65046
201,79.74749
203,82.034615
205,86.0224
212,99.66256
216,85.78832
221,89.26427
223,92.845726
234,95.62483
236,99.56107
239,84.7974
240,89.73472
243,106.21655
248,84.35435
254,85.263916
263,82.55991
265,82.84236
268,100.52555
272,109.93218
281,83.65046
282,85.78832
286,84.46998
290,89.12621
292,86.33043
300,99.497856
302,85.66484
304,83.893394
307,79.96256
315,83.41269
316,85.58689
328,93.81498
332,101.195465
350,83.05289
354,85.365776
355,97.52459
358,83.65139
362,100.86825
363,83.53488
364,99.397865
369,67.4869
376,97.4469
379,84.35464
384,86.279106
388,85.66484
390,102.1641
391,85.30735
403,101.880554
405,92.812294
406,84.903885
416,82.21482
424,100.22176
428,86.88252
437,102.1641
441,85.789406
443,83.25219
449,92.845726
451,95.88862
452,88.50617
457,82.259254
458,92.845726
462,81.735756
471,84.903885
473,84.30412
476,84.520744
479,84.14469
480,79.60794
481,94.79505
486,83.41269
492,99.397865
494,85.30735
496,86.03542
497,98.39878
499,84.46998
508,83.893394
514,100.961464
521,84.395386
525,95.203896
526,101.2178
528,89.825806
531,83.99242
533,93.095
534,84.929115
536,94.05341
538,92.1885
544,92.845726
550,90.0897
551,82.89106
560,93.48444
570,79.1839
571,102.1641
572,83.65046
574,68.48427
575,92.845726
577,84.58938
588,83.44517
589,96.96812
590,83.38834
592,64.48025
593,101.128975
604,86.0224
606,83.93555
609,85.642006
612,101.048744
621,82.83407
623,86.0224
633,93.1146
640,84.15893
643,84.28372
645,85.480156
655,93.095
656,86.40854
659,83.947685
660,102.3865
665,83.81777
666,105.87827
672,81.63166
674,81.88327
695,102.1641
698,82.27762
700,84.2197
702,83.4564
713,83.47332
714,101.3005
727,109.93218
729,84.251976
732,83.4564
735,69.48548
736,99.397865
737,82.804474
738,101.35891
742,101.51445
749,99.397865
753,83.4564
755,102.1641
757,86.63684
758,91.857254
762,85.642006
763,100.50318
766,102.1641
770,85.043106
777,84.03013
785,85.30735
788,85.30735
790,84.90382
794,84.63549
800,106.24037
804,100.12798
805,85.30735
808,102.10422
815,83.05289
821,105.855034
824,102.10422
829,93.140495
833,94.1063
838,92.845726
848,82.277214
866,91.24853
868,85.30735
869,84.3166
870,83.947685
875,103.65081
878,100.50318
896,82.64513
904,89.572624
908,84.20585
909,92.812294
910,101.2508
911,99.65865
916,83.947685
917,84.03013
920,82.251884
922,85.642006
928,97.31875
946,93.875374
958,100.93975
964,85.689
970,84.33482
975,80.78232
977,83.76087
978,86.09106
979,91.18097
981,83.53488
983,83.65046
986,89.65244
991,100.879616
1004,91.18097
1005,83.71625
1006,85.30735
1010,83.81777
1021,81.91436
1022,100.07249
1026,85.77274
1027,100.13915
1034,101.816734
1035,98.08231
1042,107.52932
1043,84.30412
1046,101.03538
1050,65.5589
1053,92.841576
1056,94.40208
1058,84.54309
1070,101.15989
1078,91.18097
1079,84.91491
1080,67.253525
1082,85.94325
1088,83.65046
1094,100.67687
1096,101.36298
1109,99.324135
1111,109.93218
1113,82.58352
1125,99.397865
1129,85.642006
1130,99.56107
1134,109.93218
1142,106.21655
1145,93.095
1150,84.395386
1152,83.81777
1156,87.63036
1158,93.85574
1162,109.93218
1181,99.56107
1182,86.06106
1186,84.65528
1190,83.81777
1191,86.25661
1198,81.887215
1199,103.088905
1204,95.21701
1210,100.07249
1212,93.34832
1217,85.638435
1220,84.281715
1221,92.251686
1228,96.50505
1234,85.459694
1236,84.642586
1237,90.76551
1239,83.42487
1240,102.66119
1244,99.402
1250,109.93218
1252,92.845726
1259,86.00913
1264,92.725365
1268,92.187996
1270,84.85542
1277,98.86719
1279,86.7385
1283,68.44118
1286,92.845726
1292,83.81777
1296,69.51009
1304,84.18205
1309,98.25669
1314,100.22176
1315,101.26156
1316,83.71625
1319,99.397865
1320,93.12441
1321,87.82901
1324,80.78232
1329,83.05753
1332,93.6776
1334,103.05457
1342,84.873474
1343,84.1872
1344,83.44517
1354,85.55476
1355,83.99242
1368,98.52018
1378,94.580795
1390,82.1726
1394,83.8346
1396,83.209236
1397,84.59283
1399,85.642006
1401,83.947685
1402,109.145294
1405,99.402
1407,100.22176
1413,85.642006
1418,89.95504
1430,97.84806
1436,94.047005
1438,83.76066
1447,100.73052
1449,103.93426
1458,81.63166
1473,65.2945
1475,80.78232
1479,102.11901
1483,82.51136
1487,81.15687
1488,92.812294
1491,100.313225
1494,101.03538
1500,83.995735
1501,96.24519
1502,84.21299
1503,93.773026
1507,86.89529
1510,100.167694
1513,63.36032
1516,84.44105
1517,99.402
1518,103.058365
1523,67.910164
1528,84.696495
1533,68.48427
1535,103.435326
1540,99.981636
1542,83.25219
1547,84.58938
1549,67.23655
1551,77.670654
1553,99.532585
1554,85.642006
1557,84.42007
1558,92.845726
1559,83.81777
1571,93.17177
1573,94.524155
1579,102.87411
1582,102.330894
1585,104.653725
1589,99.291435
1591,85.31245
1592,92.812294
1594,102.330894
1598,83.947685
1599,97.23791
1602,84.60687
1603,83.947685
1604,81.95585
1619,92.845726
1621,84.03013
1623,92.845726
1625,94.37734
1626,84.9439
1627,94.11971
1632,91.370705
1635,85.95219
1636,109.93218
1639,85.125725
1642,68.36567
1646,93.09159
1659,97.18809
1661,83.25219
1669,100.65131
1680,105.18531
1686,83.26988
1691,81.95223
1702,84.32337
1707,87.0556
1716,84.941536
1720,103.93426
1725,83.02781
1727,99.402
1728,83.93555
1732,92.841576
1737,86.33043
1745,92.187996
1746,82.86825
1748,85.82069
1749,91.67957
1758,102.330894
1759,101.39336
1766,81.85268
1767,83.100044
1779,100.32543
1784,68.7158
1786,83.54159
1791,105.16291
1792,86.0224
1795,92.187996
1811,84.859566
1813,101.608284
1814,100.32676
1821,103.2776
1825,89.52053
1834,83.25219
1836,86.003654
1838,85.30735
1840,101.39336
1842,109.93218
1845,101.88241
1855,82.41604
1858,83.51852
1863,99.402
1865,86.33043
1867,85.812614
1868,101.58692
1869,84.9439
1871,84.018135
1877,99.402
1878,77.25566
1883,100.313225
1886,85.55275
1891,66.12767
1895,83.978096
1899,68.36567
1903,102.291115
1905,92.725365
1908,100.41106
1909,84.85542
1917,93.01371
1919,83.81777
1923,101.938446
1925,101.83904
1926,104.71185
1932,84.98873
1938,103.06777
1940,85.78832
1942,109.145294
1944,84.941536
1946,81.63166
1951,84.941536
1952,92.845726
1956,101.048744
1966,84.494156
1970,92.187996
1972,101.25718
1976,84.56892
1980,101.39336
1983,82.92936
1992,88.48608
2002,83.25219
2006,80.35787
2010,83.27934
2013,85.225784
2015,92.845726
2019,102.330894
2025,67.395256
2026,88.39788
2029,102.330894
2035,83.918915
2036,100.41106
2041,84.1166
2058,98.00991
2067,88.22687
2072,95.867516
2083,93.140495
2084,85.57384
2085,104.71185
2087,85.303474
2094,85.68333
2101,94.23635
2108,83.81777
2123,88.3335
2124,93.74314
2129,70.069595
2133,91.99561
2134,85.827805
2135,77.60299
2136,84.124855
2137,68.36567
2138,96.12544
2139,92.845726
2143,101.39336
2146,99.402
2151,83.05753
2155,83.947685
2156,103.87865
2165,83.82926
2168,68.48427
2174,90.01382
2175,83.99242
2178,102.59295
2180,84.90382
2181,98.15217
2183,92.845726
2204,84.68781
2208,84.941536
2210,92.32034
2215,87.50196
2217,80.89597
2218,85.55275
2222,81.65641
2225,99.92278
2226,69.18042
2227,84.1872
2230,82.34829
2244,80.08225
2246,82.64658
2252,84.68781
2257,102.1641
2262,108.34986
2267,95.867516
2268,84.84971
2270,100.02322
2281,81.633415
2292,68.36567
2293,83.84916
2294,93.08219
2296,92.030014
2298,109.37151
2303,101.03538
2309,68.48427
2311,99.61941
2319,101.2463
2320,83.79777
2321,82.70583
2322,82.64658
2335,91.93519
2341,99.39654
